customer_id,product_id,month,store_id,units_purchased,volume_purchased,net_spend,units_purchased_on_promo
100,545,11,1670,1,0.75,1.1,0
100,549,12,1670,1,1,1.2,0
100,763,3,604,1,0.5,0.7,0
100,1293,4,1178,1,0.5,0.55,0
100,74,7,249,1,0.415,1.24,1
100,74,7,294,1,0.415,1.25,1
100,763,9,604,1,0.5,0.7,0
10008,394,10,241,1,0.72,3,1
10008,91,10,241,2,1.2,4,2
10008,1081,11,241,1,0.5,2,1
10008,1081,12,1040,1,0.5,2,0
10008,394,12,1997,1,0.72,3,1
10008,877,2,241,3,2.25,6,3
10008,450,3,241,2,2,6,2
10008,91,3,241,6,3.6,9.9,6
10008,1081,4,241,1,0.5,2,1
10008,450,5,1725,1,1,3,1
10008,450,5,241,2,2,6,2
10008,450,7,241,2,2,6,2
10008,450,9,241,1,1,3,1
10013,1277,1,59,1,1.354,3.75,1
10013,1140,12,1021,1,0.6804,1.89,0
10013,990,12,1021,1,0.375,0.79,0
10013,990,8,1021,1,0.375,0.79,0
10013,600,9,1021,1,0.375,0.89,0
10013,990,9,1021,2,0.75,1.58,0
10017,396,9,796,1,0.288,1,1
10022,1160,1,781,3,2.25,2.49,0
10022,1488,1,781,2,0.624,1.44,0
10022,1160,10,781,1,0.75,0.83,0
10022,1160,12,781,2,1.5,1.66,0
10022,157,2,1014,1,0.72,2,1
10022,1053,3,781,3,3,2.25,0
10022,1160,3,781,2,1.5,1.66,0
10022,1177,3,781,4,2.5,3.56,0
10022,1160,4,781,2,1.5,1.66,0
10022,1177,4,781,2,1.25,1.78,0
10022,1488,4,781,5,1.56,3.6,0
10022,1053,5,781,1,1,0.75,0
10022,1160,5,781,2,1.5,1.66,0
10022,1177,5,781,1,0.625,0.89,0
10022,1488,5,781,1,0.312,0.72,0
10022,586,5,1014,2,1.5,4,2
10022,1160,6,781,1,0.75,0.83,0
10022,1160,7,781,2,1.5,1.66,0
10022,1488,7,781,1,0.312,0.72,0
10022,1160,8,781,2,1.5,1.66,0
10022,1177,8,781,1,0.625,0.89,0
10022,1488,8,781,2,0.624,1.44,0
10022,306,8,781,4,0.248,1.4,0
10022,1160,9,781,1,0.75,0.83,0
10022,306,9,781,4,0.248,1.4,0
10032,1646,10,1195,1,1.2,2.99,0
10032,1609,11,798,1,0.375,0.95,0
10032,1646,2,347,1,1.2,2.5,1
10032,1039,5,636,1,0.51,2,0
10042,265,2,1445,1,0.216,1,0
10044,1136,11,485,1,0.5,2,1
10044,1136,12,485,2,1,6,0
10044,1136,6,485,1,0.5,3,0
10044,1579,6,485,1,1,2,0
10044,1136,7,485,3,1.5,8,1
10044,1136,8,485,2,1,6,0
10044,1136,9,485,1,0.5,3,0
1005,418,1,1504,2,0.72,3,2
1005,1210,10,626,1,0.5,1.49,0
1005,1577,10,626,1,0.75,1.25,0
1005,1210,12,626,1,0.5,1.49,0
1005,1577,6,626,3,2.25,3.75,0
1005,1577,7,626,1,0.75,1.25,0
1005,1577,9,626,2,1.5,2.5,0
10053,703,10,738,1,0.5,1,0
10053,703,11,738,1,0.5,1,0
10053,831,11,738,1,0.51,2,1
10053,91,11,738,2,1.2,3.3,2
10053,1095,12,1242,1,0.4,1.79,0
10053,151,12,1831,1,0.35,1.2,0
10053,632,12,1831,1,0.4536,1.3,0
10053,703,12,1831,2,1,2,0
10053,762,12,1831,1,0.565,2,1
10053,1117,2,738,1,0.325,1,1
10053,369,2,738,1,0.375,1,1
10053,924,2,738,1,0.375,1,1
10053,1117,3,738,1,0.325,1,1
10053,1439,3,738,1,0.375,1.2,0
10053,383,3,738,2,0.11,1,0
10053,924,3,738,1,0.375,1,1
10053,1117,4,738,2,0.65,2,2
10053,36,4,738,1,0.5,1.3,1
10053,703,4,738,1,0.5,1,0
10053,91,4,738,1,0.6,1.65,1
10053,924,4,738,1,0.375,1,1
10053,1498,5,738,1,0.5,1.3,1
10053,567,5,738,3,1.125,3.75,3
10053,703,5,738,2,1,2,0
10053,1315,6,1217,3,0.9072,3,3
10053,1498,6,1499,2,1,2.6,2
10053,1597,6,1217,1,0.375,1,1
10053,586,6,1499,1,0.75,2,1
10053,703,6,1831,1,0.5,1,0
10053,703,6,738,1,0.5,1,0
10053,91,6,738,1,0.6,1.65,1
10053,1597,7,738,2,0.75,2.5,2
10053,632,7,738,1,0.4536,1.3,0
10053,91,9,738,1,0.6,1.65,1
10059,1011,10,714,1,0.44,1,1
10059,1279,11,2011,1,0.5,1.18,0
10059,1402,11,2011,1,0.375,0.79,1
10059,1279,12,2011,1,0.5,1.18,0
10059,760,2,714,1,1,0.75,0
10059,1011,3,714,2,0.88,2,2
10059,1282,3,2011,1,0.5,0.83,0
10059,760,3,714,1,1,0.75,0
10059,1279,4,2011,1,0.5,1.18,0
10059,1282,4,2011,3,1.5,2.49,0
10059,1402,4,2011,1,0.375,0.85,0
